Casarene (Squibb),0
Osteria della Fontana,1
Fontana Ceraso,2
Pantanello,3
Tofe Pistone,4
Quattro strade,5
Sub Nord,6
Sub Sud,7
Porta S. Francesco,8
S. Giorgetto,9
Cantina Sociale,10
Osteria La Noce,11
Via Casilina, km. 67,12
Strada Provinciale Anagni/Ferentino (Muraglione),13
Cardinali,14
Tufano,15
Vallevona,16
Bivio Morolo,17
Fosso del Lupo,18
Piscina,19
Vignola,20
S. Bartolomeo,21
Faito,22
Ponte Piano,23
Cimitero,24
Via Casalotto,25
Via Collacciano,26
F. Ceraso,27
Bivio Fiuggi (Coop),28
Prato,29
Strada Regionale Anticolana,30
Bivio S. Filippo,31
Strada Provinciale Anagni/Acuto,32
Ponte delle Cavatole,33
Acqua Cetosa,34
Monti,35
S. Filippo,36
Ristorante La Rena,37
Via Casilina, km.68,38
Via Madonna delle Grazie,39
Via Madonna di Tufano,40
Cava S. Magno,41
Impianti Sportivi,42
Centro Storico,43
Viale Roma,44
Via Cerere Navicella,45
Cucugnano,46
Via Ponte del Papa,47
Strada Ricci,48
V. Bagnara,49
V.P. Sabatino,50
Via Fucigno,51
Via La Sassera,52
Bivio Ricci,53
Stazione FS,54
Via Rotabile S. Francesco,55
Viale G. Matteotti,56
Collegio Leoniano,57
Ex Tribunale,58
Ufficio Postale,59
Porta S. Maria,60
Via V. Emanuele,61
Porta Cerere,62
Convitto R. Margherita,63
Istituto Tecnico,64
Bar Rossi,65
